Gene.name	Gene.stable.ID	Mouse.gene.stable.ID	Mouse.gene.name
CFLAR	ENSG00000003402	ENSMUSG00000026031	Cflar
SPAG4	ENSG00000061656	ENSMUSG00000038180	Spag4
FAM120C	ENSG00000184083	ENSMUSG00000025262	Fam120c
CXXC1	ENSG00000154832	ENSMUSG00000024560	Cxxc1
MSH3	ENSG00000113318	ENSMUSG00000014850	Msh3
KCTD4	ENSG00000180332	ENSMUSG00000046523	Kctd4
ZBTB40	ENSG00000184677	ENSMUSG00000060862	Zbtb40
PSMD8	ENSG00000099341	ENSMUSG00000030591	Psmd8
RAB11FIP2	ENSG00000107560	ENSMUSG00000040022	Rab11fip2
GUSB	ENSG00000169919	ENSMUSG00000025534	Gusb
KLHL14	ENSG00000197705	ENSMUSG00000042514	Klhl14
SH3GL3	ENSG00000140600	ENSMUSG00000030638	Sh3gl3
CNMD	ENSG00000136110	ENSMUSG00000022025	Cnmd
NCBP3	ENSG00000074356	ENSMUSG00000020783	Ncbp3
RNF138	ENSG00000134758	ENSMUSG00000083695	Rnf138rt1
EXOC1L	ENSG00000250821	ENSMUSG00000091204	Gm7271
LYSMD4	ENSG00000183060	ENSMUSG00000043831	Lysmd4
TXNL1	ENSG00000091164	ENSMUSG00000024583	Txnl1
TRA2A	ENSG00000164548	ENSMUSG00000029817	Tra2a
CNOT6	ENSG00000113300	ENSMUSG00000020362	Cnot6
WDR82	ENSG00000164091	ENSMUSG00000020257	Wdr82
KCNS3	ENSG00000170745	ENSMUSG00000043673	Kcns3
ZGPAT	ENSG00000197114	ENSMUSG00000027582	Zgpat
YWHAE	ENSG00000108953	ENSMUSG00000020849	Ywhae
TGM7	ENSG00000159495	ENSMUSG00000079103	Tgm7
SLK	ENSG00000065613	ENSMUSG00000025060	Slk
GLYCTK	ENSG00000168237	ENSMUSG00000020258	Glyctk
GABPA	ENSG00000154727	ENSMUSG00000008976	Gabpa
BPIFB2	ENSG00000078898	ENSMUSG00000027481	Bpifb2
MEP1B	ENSG00000141434	ENSMUSG00000024313	Mep1b
BCAP31	ENSG00000185825	ENSMUSG00000002015	Bcap31
H2AFV	ENSG00000105968	ENSMUSG00000041126	H2afv
SLC16A13	ENSG00000174327	ENSMUSG00000044367	Slc16a13
SCD	ENSG00000099194	ENSMUSG00000050195	Scd4
SCD	ENSG00000099194	ENSMUSG00000025203	Scd2
TBL1Y	ENSG00000092377	ENSMUSG00000025246	Tbl1x
DPY19L4	ENSG00000156162	ENSMUSG00000045205	Dpy19l4
SLC16A11	ENSG00000174326	ENSMUSG00000040938	Slc16a11
TTLL3	ENSG00000214021	ENSMUSG00000030276	Ttll3
ZCCHC2	ENSG00000141664	ENSMUSG00000038866	Zcchc2
PRKCE	ENSG00000171132	ENSMUSG00000045038	Prkce
RNF125	ENSG00000101695	ENSMUSG00000033107	Rnf125
IL1RAPL1	ENSG00000169306	ENSMUSG00000052372	Il1rapl1
LCMT2	ENSG00000168806	ENSMUSG00000074890	Lcmt2
BCS1L	ENSG00000074582	ENSMUSG00000026172	Bcs1l
NLRP6	ENSG00000174885	ENSMUSG00000038745	Nlrp6
CABLES1	ENSG00000134508	ENSMUSG00000040957	Cables1
ATP5PF	ENSG00000154723	ENSMUSG00000022890	Atp5j
GAREM1	ENSG00000141441	ENSMUSG00000042680	Garem1
DEFB136	ENSG00000205884	ENSMUSG00000054763	Defb42
TMEM225	ENSG00000204300	ENSMUSG00000040541	Tmem225
DEFB135	ENSG00000205883	ENSMUSG00000075571	Defb30
KIF16B	ENSG00000089177	ENSMUSG00000038844	Kif16b
KCNIP1	ENSG00000182132	ENSMUSG00000053519	Kcnip1
DEFB134	ENSG00000205882	ENSMUSG00000048500	Defb15
DEFB134	ENSG00000205882	ENSMUSG00000052554	Defb34
DEFB134	ENSG00000205882	ENSMUSG00000027468	Defb22
GPX1	ENSG00000233276	ENSMUSG00000063856	Gpx1
POU6F2	ENSG00000106536	ENSMUSG00000009734	Pou6f2
UBE2E3	ENSG00000170035	ENSMUSG00000027011	Ube2e3
LIME1	ENSG00000203896	ENSMUSG00000090077	Lime1
NR2F1	ENSG00000175745	ENSMUSG00000069171	Nr2f1
OR8D4	ENSG00000181518	ENSMUSG00000049073	Olfr985
KIAA2013	ENSG00000116685	ENSMUSG00000044496	2510039O18Rik
DEFB130B	ENSG00000233050	ENSMUSG00000075573	Defb47
DHFR	ENSG00000228716	ENSMUSG00000021707	Dhfr
TRIB1	ENSG00000173334	ENSMUSG00000032501	Trib1
THRB	ENSG00000151090	ENSMUSG00000021779	Thrb
KLRG2	ENSG00000188883	ENSMUSG00000071537	Klrg2
C9orf85	ENSG00000155621	ENSMUSG00000035171	1110059E24Rik
EPHA8	ENSG00000070886	ENSMUSG00000028661	Epha8
ASCC2	ENSG00000100325	ENSMUSG00000020412	Ascc2
SF3B1	ENSG00000115524	ENSMUSG00000025982	Sf3b1
KCND1	ENSG00000102057	ENSMUSG00000009731	Kcnd1
AL121845.2	ENSG00000273047	ENSMUSG00000090077	Lime1
TMEM241	ENSG00000134490	ENSMUSG00000049411	Tmem241
ZNF705D	ENSG00000215343	ENSMUSG00000055150	Zfp78
HS3ST1	ENSG00000002587	ENSMUSG00000051022	Hs3st1
TXNDC11	ENSG00000153066	ENSMUSG00000022498	Txndc11
FBXL12	ENSG00000127452	ENSMUSG00000066892	Fbxl12
KCNJ11	ENSG00000187486	ENSMUSG00000096146	Kcnj11
UBE3D	ENSG00000118420	ENSMUSG00000032415	Ube2cbp
IREB2	ENSG00000136381	ENSMUSG00000032293	Ireb2
CCDC126	ENSG00000169193	ENSMUSG00000050786	Ccdc126
FLOT2	ENSG00000132589	ENSMUSG00000061981	Flot2
CLEC2L	ENSG00000236279	ENSMUSG00000079598	Clec2l
MUCL3	ENSG00000168631	ENSMUSG00000073408	Mucl3
ZNF169	ENSG00000175787	ENSMUSG00000050954	Zfp169
UBA1	ENSG00000130985	ENSMUSG00000001924	Uba1
JPH2	ENSG00000149596	ENSMUSG00000017817	Jph2
SFTA2	ENSG00000196260	ENSMUSG00000090509	Sfta2
RGS14	ENSG00000169220	ENSMUSG00000052087	Rgs14
JAM2	ENSG00000154721	ENSMUSG00000053062	Jam2
SHLD1	ENSG00000171984	ENSMUSG00000044991	Shld1
ZDHHC2	ENSG00000104219	ENSMUSG00000039470	Zdhhc2
KCNMB1	ENSG00000145936	ENSMUSG00000020155	Kcnmb1
MAGEB2	ENSG00000099399	ENSMUSG00000035427	Mageb4
ALOX5AP	ENSG00000132965	ENSMUSG00000060063	Alox5ap
SNN	ENSG00000184602	ENSMUSG00000037972	Snn
RTEL1-TNFRSF6B	ENSG00000026036	ENSMUSG00000038685	Rtel1
SARM1	ENSG00000004139	ENSMUSG00000050132	Sarm1
ACAD8	ENSG00000151498	ENSMUSG00000031969	Acad8
SNRPB2	ENSG00000125870	ENSMUSG00000008333	Snrpb2
CHGB	ENSG00000089199	ENSMUSG00000027350	Chgb
SLC28A2	ENSG00000137860	ENSMUSG00000079071	Gm14085
SLC28A2	ENSG00000137860	ENSMUSG00000027219	Slc28a2
GET4	ENSG00000239857	ENSMUSG00000025858	Get4
SALL2	ENSG00000165821	ENSMUSG00000049532	Sall2
BRICD5	ENSG00000182685	ENSMUSG00000045744	Bricd5
HLA-DQB1	ENSG00000179344	ENSMUSG00000073421	H2-Ab1
ARFRP1	ENSG00000101246	ENSMUSG00000038671	Arfrp1
INPP4A	ENSG00000040933	ENSMUSG00000026113	Inpp4a
BTRC	ENSG00000166167	ENSMUSG00000025217	Btrc
CHRM2	ENSG00000181072	ENSMUSG00000045613	Chrm2
MLST8	ENSG00000167965	ENSMUSG00000024142	Mlst8
SPDYE2	ENSG00000205238	ENSMUSG00000029586	Spdye4b
SPDYE2	ENSG00000205238	ENSMUSG00000039296	Spdye4a
AC002094.3	ENSG00000273171	ENSMUSG00000017344	Vtn
TMEM37	ENSG00000171227	ENSMUSG00000050777	Tmem37
GOLM1	ENSG00000135052	ENSMUSG00000021556	Golm1
SLC46A1	ENSG00000076351	ENSMUSG00000020829	Slc46a1
KAT6A	ENSG00000083168	ENSMUSG00000031540	Kat6a
PPARG	ENSG00000132170	ENSMUSG00000000440	Pparg
GSTK1	ENSG00000197448	ENSMUSG00000029864	Gstk1
PURB	ENSG00000146676	ENSMUSG00000094483	Purb
UPK3BL1	ENSG00000267368	ENSMUSG00000006143	Upk3bl
LTBP4	ENSG00000090006	ENSMUSG00000040488	Ltbp4
TMEM199	ENSG00000244045	ENSMUSG00000051232	Tmem199
SUN1	ENSG00000164828	ENSMUSG00000036817	Sun1
MUC21	ENSG00000204544	ENSMUSG00000090588	Gm9573
SPDYE2B	ENSG00000173678	ENSMUSG00000029586	Spdye4b
SPDYE2B	ENSG00000173678	ENSMUSG00000039296	Spdye4a
AC105052.1	ENSG00000205236	ENSMUSG00000006143	Upk3bl
SKP2	ENSG00000145604	ENSMUSG00000054115	Skp2
ZNF142	ENSG00000115568	ENSMUSG00000026135	Zfp142
UPK3BL2	ENSG00000284981	ENSMUSG00000006143	Upk3bl
CECR2	ENSG00000099954	ENSMUSG00000071226	Cecr2
AC093668.1	ENSG00000270249	ENSMUSG00000004952	Rasa4
SEBOX	ENSG00000274529	ENSMUSG00000001103	Sebox
CAMK1	ENSG00000134072	ENSMUSG00000030272	Camk1
C6orf15	ENSG00000204542	ENSMUSG00000039269	2300002M23Rik
VTN	ENSG00000109072	ENSMUSG00000017344	Vtn
C1QA	ENSG00000173372	ENSMUSG00000036887	C1qa
CDSN	ENSG00000204539	ENSMUSG00000039518	Cdsn
PLXDC2	ENSG00000120594	ENSMUSG00000026748	Plxdc2
RIPK1	ENSG00000137275	ENSMUSG00000021408	Ripk1
GPBAR1	ENSG00000179921	ENSMUSG00000064272	Gpbar1
NCMAP	ENSG00000184454	ENSMUSG00000043924	Ncmap
PSORS1C2	ENSG00000204538	ENSMUSG00000024409	Psors1c2
C1QC	ENSG00000159189	ENSMUSG00000036896	C1qc
HUNK	ENSG00000142149	ENSMUSG00000053414	Hunk
SLC10A5	ENSG00000253598	ENSMUSG00000058921	Slc10a5
BLK	ENSG00000136573	ENSMUSG00000014453	Blk
OGG1	ENSG00000114026	ENSMUSG00000030271	Ogg1
CEBPA	ENSG00000245848	ENSMUSG00000034957	Cebpa
CEP170B	ENSG00000099814	ENSMUSG00000072825	Cep170b
NUTM2F	ENSG00000130950	ENSMUSG00000071909	Nutm2
SCGB3A1	ENSG00000161055	ENSMUSG00000064057	Scgb3a1
OCA2	ENSG00000104044	ENSMUSG00000030450	Oca2
SNRNP25	ENSG00000161981	ENSMUSG00000040767	Snrnp25
SLC25A18	ENSG00000182902	ENSMUSG00000004902	Slc25a18
AL096711.2	ENSG00000255330	ENSMUSG00000038916	Soga3
SKOR2	ENSG00000215474	ENSMUSG00000091519	Skor2
ZBTB46	ENSG00000130584	ENSMUSG00000027583	Zbtb46
C1QB	ENSG00000173369	ENSMUSG00000036905	C1qb
TRMT6	ENSG00000089195	ENSMUSG00000037376	Trmt6
TMX2	ENSG00000213593	ENSMUSG00000050043	Tmx2
TEX26	ENSG00000175664	ENSMUSG00000029660	Tex26
RASA4	ENSG00000105808	ENSMUSG00000004952	Rasa4
POLR3K	ENSG00000161980	ENSMUSG00000038628	Polr3k
TRPM2	ENSG00000142185	ENSMUSG00000009292	Trpm2
SUMO1	ENSG00000116030	ENSMUSG00000026021	Sumo1
SOGA3	ENSG00000214338	ENSMUSG00000038916	Soga3
MEDAG	ENSG00000102802	ENSMUSG00000029659	Medag
PHLPP1	ENSG00000081913	ENSMUSG00000044340	Phlpp1
TMEM139	ENSG00000178826	ENSMUSG00000071506	Tmem139
AKR1B1	ENSG00000085662	ENSMUSG00000001642	Akr1b3
NR0B1	ENSG00000169297	ENSMUSG00000025056	Nr0b1
NRP2	ENSG00000118257	ENSMUSG00000025969	Nrp2
RBMX2	ENSG00000134597	ENSMUSG00000031107	Rbmx2
KIAA0408	ENSG00000189367	ENSMUSG00000004360	9330159F19Rik
CXorf21	ENSG00000120280	ENSMUSG00000025058	5430427O19Rik
PAQR4	ENSG00000162073	ENSMUSG00000023909	Paqr4
PIAS1	ENSG00000033800	ENSMUSG00000032405	Pias1
RHOG	ENSG00000177105	ENSMUSG00000073982	Rhog
BTBD18	ENSG00000233436	ENSMUSG00000086598	Btbd18
SCGN	ENSG00000079689	ENSMUSG00000021337	Scgn
OSER1	ENSG00000132823	ENSMUSG00000035399	Oser1
TLCD2	ENSG00000185561	ENSMUSG00000038217	Tlcd2
KREMEN2	ENSG00000131650	ENSMUSG00000040680	Kremen2
ACTA2	ENSG00000107796	ENSMUSG00000035783	Acta2
FAM221A	ENSG00000188732	ENSMUSG00000047115	Fam221a
LYPD6B	ENSG00000150556	ENSMUSG00000026765	Lypd6b
USP50	ENSG00000170236	ENSMUSG00000027364	Usp50
STK10	ENSG00000072786	ENSMUSG00000020272	Stk10
SREBF1	ENSG00000072310	ENSMUSG00000020538	Srebf1
CTNND1	ENSG00000198561	ENSMUSG00000034101	Ctnnd1
CTNND1	ENSG00000198561	ENSMUSG00000101645	Gm28635
STUB1	ENSG00000103266	ENSMUSG00000039615	Stub1
IGF2	ENSG00000167244	ENSMUSG00000048583	Igf2
ERICH2	ENSG00000204334	ENSMUSG00000075302	Erich2
BRD8	ENSG00000112983	ENSMUSG00000003778	Brd8
HDDC2	ENSG00000111906	ENSMUSG00000000295	Hddc2
MAT2A	ENSG00000168906	ENSMUSG00000053907	Mat2a
WDR37	ENSG00000047056	ENSMUSG00000021147	Wdr37
UBL5	ENSG00000198258	ENSMUSG00000113489	Gm16381
UBL5	ENSG00000198258	ENSMUSG00000113951	Gm2001
UBL5	ENSG00000198258	ENSMUSG00000084786	Ubl5
USP8	ENSG00000138592	ENSMUSG00000027363	Usp8
SYNE3	ENSG00000176438	ENSMUSG00000054150	Syne3
RPS2	ENSG00000140988	ENSMUSG00000044533	Rps2
GAD1	ENSG00000128683	ENSMUSG00000070880	Gad1
APH1B	ENSG00000138613	ENSMUSG00000053040	Aph1c
APH1B	ENSG00000138613	ENSMUSG00000032375	Aph1b
BPIFB6	ENSG00000167104	ENSMUSG00000068009	Bpifb6
R3HCC1L	ENSG00000166024	ENSMUSG00000025184	R3hcc1l
PKMYT1	ENSG00000127564	ENSMUSG00000023908	Pkmyt1
TPD52L1	ENSG00000111907	ENSMUSG00000000296	Tpd52l1
LMAN2L	ENSG00000114988	ENSMUSG00000001143	Lman2l
FAM86B1	ENSG00000186523	ENSMUSG00000022544	Eef2kmt
GGCX	ENSG00000115486	ENSMUSG00000053460	Ggcx
AFG3L2	ENSG00000141385	ENSMUSG00000024527	Afg3l2
TREH	ENSG00000118094	ENSMUSG00000032098	Treh
EMC9	ENSG00000100908	ENSMUSG00000022217	Emc9
STIM1	ENSG00000167323	ENSMUSG00000030987	Stim1
INS	ENSG00000254647	ENSMUSG00000035804	Ins1
INS	ENSG00000254647	ENSMUSG00000000215	Ins2
B3GALT5	ENSG00000183778	ENSMUSG00000074892	B3galt5
MFSD14B	ENSG00000148110	ENSMUSG00000038212	Mfsd14b
TUBB6	ENSG00000176014	ENSMUSG00000001473	Tubb6
JMJD8	ENSG00000161999	ENSMUSG00000025736	Jmjd8
STAMBPL1	ENSG00000138134	ENSMUSG00000024776	Stambpl1
TADA3	ENSG00000171148	ENSMUSG00000048930	Tada3
ATG16L2	ENSG00000168010	ENSMUSG00000047767	Atg16l2
TIMM23	ENSG00000265354	ENSMUSG00000013701	Timm23
RAI1	ENSG00000108557	ENSMUSG00000062115	Rai1
BCL2	ENSG00000171791	ENSMUSG00000057329	Bcl2
PSME1	ENSG00000092010	ENSMUSG00000022216	Psme1
SCUBE3	ENSG00000146197	ENSMUSG00000038677	Scube3
ADARB2	ENSG00000185736	ENSMUSG00000052551	Adarb2
PRIMA1	ENSG00000175785	ENSMUSG00000041669	Prima1
SRPK3	ENSG00000184343	ENSMUSG00000002007	Srpk3
AC132217.2	ENSG00000284779	ENSMUSG00000115302	Gm49394
BIN3	ENSG00000147439	ENSMUSG00000022089	Bin3
TRIP10	ENSG00000125733	ENSMUSG00000019487	Trip10
PHLDB1	ENSG00000019144	ENSMUSG00000048537	Phldb1
SMPD1	ENSG00000166311	ENSMUSG00000037049	Smpd1
C5orf22	ENSG00000082213	ENSMUSG00000022195	6030458C11Rik
FBP2	ENSG00000130957	ENSMUSG00000021456	Fbp2
RAB33B	ENSG00000172007	ENSMUSG00000027739	Rab33b
TBC1D20	ENSG00000125875	ENSMUSG00000027465	Tbc1d20
MGARP	ENSG00000137463	ENSMUSG00000037161	Mgarp
FBP1	ENSG00000165140	ENSMUSG00000069805	Fbp1
FAM181A	ENSG00000140067	ENSMUSG00000096753	Fam181a
TRIM27	ENSG00000204713	ENSMUSG00000021326	Trim27
NCOA4	ENSG00000266412	ENSMUSG00000056234	Ncoa4
NDUFC1	ENSG00000109390	ENSMUSG00000037152	Ndufc1
PNMA5	ENSG00000198883	ENSMUSG00000050424	Pnma5
RPUSD3	ENSG00000156990	ENSMUSG00000051169	Rpusd3
EVI5L	ENSG00000142459	ENSMUSG00000011832	Evi5l
MIS18A	ENSG00000159055	ENSMUSG00000022978	Mis18a
NHLRC1	ENSG00000187566	ENSMUSG00000044231	Nhlrc1
GLB1L3	ENSG00000166105	ENSMUSG00000031966	Glb1l3
PNMA3	ENSG00000183837	ENSMUSG00000046287	Pnma3
LRRC74B	ENSG00000187905	ENSMUSG00000022759	Lrrc74b
MCF2L	ENSG00000126217	ENSMUSG00000031442	Mcf2l
SP5	ENSG00000204335	ENSMUSG00000075304	Sp5
HPCAL1	ENSG00000115756	ENSMUSG00000071379	Hpcal1
AL159163.1	ENSG00000249141	ENSMUSG00000095687	Rnaset2a
AL159163.1	ENSG00000249141	ENSMUSG00000116988	Gm49673
AL159163.1	ENSG00000249141	ENSMUSG00000116876	Gm49721
AL159163.1	ENSG00000249141	ENSMUSG00000094724	Rnaset2b
GPR26	ENSG00000154478	ENSMUSG00000040125	Gpr26
RPS6KA2	ENSG00000071242	ENSMUSG00000023809	Rps6ka2
NAA15	ENSG00000164134	ENSMUSG00000063273	Naa15
ATIC	ENSG00000138363	ENSMUSG00000026192	Atic
URB1	ENSG00000142207	ENSMUSG00000039929	Urb1
CNNM4	ENSG00000158158	ENSMUSG00000037408	Cnnm4
FAS	ENSG00000026103	ENSMUSG00000024778	Fas
CCAR2	ENSG00000158941	ENSMUSG00000033712	Ccar2
CRK	ENSG00000167193	ENSMUSG00000017776	Crk
Z82190.2	ENSG00000285404	ENSMUSG00000037426	Depdc5
EPHB2	ENSG00000133216	ENSMUSG00000028664	Ephb2
MAP3K8	ENSG00000107968	ENSMUSG00000024235	Map3k8
LANCL2	ENSG00000132434	ENSMUSG00000062190	Lancl2
OR5P3	ENSG00000182334	ENSMUSG00000063120	Olfr480
OR5P3	ENSG00000182334	ENSMUSG00000063764	Olfr508
KIF13B	ENSG00000197892	ENSMUSG00000060012	Kif13b
ABCD1	ENSG00000101986	ENSMUSG00000031378	Abcd1
ADAL	ENSG00000168803	ENSMUSG00000027259	Adal
OVCH2	ENSG00000183378	ENSMUSG00000048236	Ovch2
ARPC4-TTLL3	ENSG00000250151	ENSMUSG00000030276	Ttll3
PGP	ENSG00000184207	ENSMUSG00000043445	Pgp
NSMAF	ENSG00000035681	ENSMUSG00000028245	Nsmaf
CALML4	ENSG00000129007	ENSMUSG00000032246	Calml4
IMPG1	ENSG00000112706	ENSMUSG00000032343	Impg1
OR4D5	ENSG00000171014	ENSMUSG00000045812	Olfr984
MRAP	ENSG00000170262	ENSMUSG00000039956	Mrap
OR5P2	ENSG00000183303	ENSMUSG00000096209	Olfr510
OR5P2	ENSG00000183303	ENSMUSG00000096679	Olfr498
OR5P2	ENSG00000183303	ENSMUSG00000061000	Olfr507
OR5P2	ENSG00000183303	ENSMUSG00000108995	Olfr485
OR5P2	ENSG00000183303	ENSMUSG00000058244	Olfr506
OR5P2	ENSG00000183303	ENSMUSG00000096068	Olfr486
OR5P2	ENSG00000183303	ENSMUSG00000110204	Olfr501-ps1
OR5P2	ENSG00000183303	ENSMUSG00000109497	Olfr492
OR5P2	ENSG00000183303	ENSMUSG00000095929	Olfr487
OR5P2	ENSG00000183303	ENSMUSG00000096465	Olfr488
OR5P2	ENSG00000183303	ENSMUSG00000058014	Olfr502
OR5P2	ENSG00000183303	ENSMUSG00000078118	Olfr483
OR5P2	ENSG00000183303	ENSMUSG00000109884	Olfr490
OR5P2	ENSG00000183303	ENSMUSG00000059031	Olfr482
OR5P2	ENSG00000183303	ENSMUSG00000110171	Olfr484
OR5P2	ENSG00000183303	ENSMUSG00000095910	Olfr469
OR5P2	ENSG00000183303	ENSMUSG00000095239	Olfr497
OR5P2	ENSG00000183303	ENSMUSG00000110253	Olfr495
OR5P2	ENSG00000183303	ENSMUSG00000109631	Olfr494
OR5P2	ENSG00000183303	ENSMUSG00000093980	Olfr493
OR5P2	ENSG00000183303	ENSMUSG00000094426	Olfr478
OR5P2	ENSG00000183303	ENSMUSG00000109542	Olfr470
OTOR	ENSG00000125879	ENSMUSG00000027416	Otor
NFKB1	ENSG00000109320	ENSMUSG00000028163	Nfkb1
OR10S1	ENSG00000196248	ENSMUSG00000049010	Olfr982
OR10G6	ENSG00000198674	ENSMUSG00000046678	Olfr981
DEPDC5	ENSG00000100150	ENSMUSG00000037426	Depdc5
PLXNB3	ENSG00000198753	ENSMUSG00000031385	Plxnb3
OR10G4	ENSG00000254737	ENSMUSG00000059473	Olfr979
OR10G4	ENSG00000254737	ENSMUSG00000044292	Olfr978
OR10G4	ENSG00000254737	ENSMUSG00000060254	Olfr980
ARPC4	ENSG00000241553	ENSMUSG00000079426	Arpc4
SOD2	ENSG00000112096	ENSMUSG00000006818	Sod2
MYO1G	ENSG00000136286	ENSMUSG00000020437	Myo1g
TCTA	ENSG00000145022	ENSMUSG00000039461	Tcta
BPIFB3	ENSG00000186190	ENSMUSG00000068008	Bpifb3
DSN1	ENSG00000149636	ENSMUSG00000027635	Dsn1
SH2D1A	ENSG00000183918	ENSMUSG00000005696	Sh2d1a
GDAP1L1	ENSG00000124194	ENSMUSG00000017943	Gdap1l1
TBXAS1	ENSG00000059377	ENSMUSG00000029925	Tbxas1
MRPS33	ENSG00000090263	ENSMUSG00000029918	Mrps33
RHOA	ENSG00000067560	ENSMUSG00000007815	Rhoa
SH3KBP1	ENSG00000147010	ENSMUSG00000040990	Sh3kbp1
NT5C3A	ENSG00000122643	ENSMUSG00000029780	Nt5c3
MRPL44	ENSG00000135900	ENSMUSG00000026248	Mrpl44
TEX13D	ENSG00000282419	ENSMUSG00000078320	Tex13c1
TEX13D	ENSG00000282419	ENSMUSG00000105993	Tex13c2
AC135068.1	ENSG00000182974	ENSMUSG00000045306	Olfr734
LINC02203	ENSG00000280709	ENSMUSG00000090874	Olfr733
LINC02203	ENSG00000280709	ENSMUSG00000091873	Olfr732
PCSK2	ENSG00000125851	ENSMUSG00000027419	Pcsk2
GPBP1	ENSG00000062194	ENSMUSG00000032745	Gpbp1
GPBP1	ENSG00000062194	ENSMUSG00000116016	Gm49496
AC236972.4	ENSG00000278803	ENSMUSG00000079534	Gm5640
AC236972.4	ENSG00000278803	ENSMUSG00000067771	Gm14685
AC236972.4	ENSG00000278803	ENSMUSG00000071745	DXBay18
AC236972.4	ENSG00000278803	ENSMUSG00000079531	Gm5936
FCHSD2	ENSG00000137478	ENSMUSG00000030691	Fchsd2
SLC10A2	ENSG00000125255	ENSMUSG00000023073	Slc10a2
AC135068.3	ENSG00000279408	ENSMUSG00000090874	Olfr733
AC135068.3	ENSG00000279408	ENSMUSG00000091873	Olfr732
OR10G9	ENSG00000236981	ENSMUSG00000059473	Olfr979
OR10G9	ENSG00000236981	ENSMUSG00000044292	Olfr978
OR10G9	ENSG00000236981	ENSMUSG00000060254	Olfr980
PNMA6F	ENSG00000225110	ENSMUSG00000109368	Gm45015
PNMA6F	ENSG00000225110	ENSMUSG00000096966	Gm18336
MICALL1	ENSG00000100139	ENSMUSG00000033039	Micall1
OR10G8	ENSG00000234560	ENSMUSG00000059473	Olfr979
OR10G8	ENSG00000234560	ENSMUSG00000044292	Olfr978
OR10G8	ENSG00000234560	ENSMUSG00000060254	Olfr980
NADSYN1	ENSG00000172890	ENSMUSG00000031090	Nadsyn1
ASB2	ENSG00000100628	ENSMUSG00000021200	Asb2
SEMA4F	ENSG00000135622	ENSMUSG00000000627	Sema4f
ETNPPL	ENSG00000164089	ENSMUSG00000019232	Etnppl
CPXM2	ENSG00000121898	ENSMUSG00000030862	Cpxm2
TMEM178B	ENSG00000261115	ENSMUSG00000057716	Tmem178b
ADAMTSL3	ENSG00000156218	ENSMUSG00000070469	Adamtsl3
LRP5	ENSG00000162337	ENSMUSG00000024913	Lrp5
ZNF25	ENSG00000175395	ENSMUSG00000072623	Zfp9
HLA-DQB2	ENSG00000232629	ENSMUSG00000073421	H2-Ab1
WTAP	ENSG00000146457	ENSMUSG00000060475	Wtap
PGGHG	ENSG00000142102	ENSMUSG00000062031	Pgghg
ISCA1	ENSG00000135070	ENSMUSG00000078139	AK157302
ISCA1	ENSG00000135070	ENSMUSG00000044792	Isca1
PSD	ENSG00000059915	ENSMUSG00000037126	Psd
CDC23	ENSG00000094880	ENSMUSG00000024370	Cdc23
GATM	ENSG00000171766	ENSMUSG00000027199	Gatm
PROSER1	ENSG00000120685	ENSMUSG00000049504	Proser1
FITM2	ENSG00000197296	ENSMUSG00000048486	Fitm2
TPMT	ENSG00000137364	ENSMUSG00000021376	Tpmt
AAMP	ENSG00000127837	ENSMUSG00000006299	Aamp
LYZL2	ENSG00000151033	ENSMUSG00000024233	Lyzl1
SIT1	ENSG00000137078	ENSMUSG00000028460	Sit1
HIBADH	ENSG00000106049	ENSMUSG00000029776	Hibadh
MYO3A	ENSG00000095777	ENSMUSG00000025716	Myo3a
PNMA6E	ENSG00000214897	ENSMUSG00000109368	Gm45015
PNMA6E	ENSG00000214897	ENSMUSG00000096966	Gm18336
R3HDML	ENSG00000101074	ENSMUSG00000078949	R3hdml
PDHB	ENSG00000168291	ENSMUSG00000021748	Pdhb
BOD1L2	ENSG00000228075	ENSMUSG00000044502	Bod1
HTR1B	ENSG00000135312	ENSMUSG00000049511	Htr1b
ST8SIA3	ENSG00000177511	ENSMUSG00000056812	St8sia3
RNASET2	ENSG00000026297	ENSMUSG00000095687	Rnaset2a
RNASET2	ENSG00000026297	ENSMUSG00000116988	Gm49673
RNASET2	ENSG00000026297	ENSMUSG00000116876	Gm49721
RNASET2	ENSG00000026297	ENSMUSG00000094724	Rnaset2b
FBXL15	ENSG00000107872	ENSMUSG00000025226	Fbxl15
CLN6	ENSG00000128973	ENSMUSG00000032245	Cln6
PLA2G4E	ENSG00000188089	ENSMUSG00000050211	Pla2g4e
OR10G7	ENSG00000182634	ENSMUSG00000059473	Olfr979
OR10G7	ENSG00000182634	ENSMUSG00000044292	Olfr978
OR10G7	ENSG00000182634	ENSMUSG00000060254	Olfr980
GLYAT	ENSG00000149124	ENSMUSG00000063683	Glyat
KIF20A	ENSG00000112984	ENSMUSG00000003779	Kif20a
ONECUT2	ENSG00000119547	ENSMUSG00000045991	Onecut2
AC135068.8	ENSG00000281179	ENSMUSG00000094561	Ighv1-22
AC135068.8	ENSG00000281179	ENSMUSG00000095923	Ighv1-37
AC135068.8	ENSG00000281179	ENSMUSG00000093955	Ighv1-34
AC135068.8	ENSG00000281179	ENSMUSG00000095416	Ighv1-12
AC135068.8	ENSG00000281179	ENSMUSG00000094862	Ighv1-56
AC135068.8	ENSG00000281179	ENSMUSG00000094124	Ighv1-74
AC135068.8	ENSG00000281179	ENSMUSG00000076710	Ighv1-49
